id,date_account_created,timestamp_first_active,date_first_booking,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
fp6ndcm5ak,1/27/2010,2.01E+13,1/27/2010,MALE,52,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US
rwa710uoxj,1/28/2010,2.01E+13,,-unknown-,,basic,0,en,other,craigslist,untracked,Web,Windows Desktop,Chrome,NDF
p968flw686,1/29/2010,2.01E+13,,-unknown-,,basic,0,en,direct,direct,untracked,Web,iPhone,Mobile Safari,NDF
b2iuaury7k,1/29/2010,2.01E+13,,MALE,39,basic,0,en,other,craigslist,untracked,Web,iPhone,Mobile Safari,NDF
5dp8dxiayg,1/29/2010,2.01E+13,,-unknown-,,basic,0,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
ranh94tmin,1/29/2010,2.01E+13,1/29/2010,-unknown-,,basic,0,en,direct,direct,,Web,Other/Unknown,-unknown-,CA
0xvbruzuzz,1/30/2010,2.01E+13,1/31/2010,MALE,35,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,CA
wtwg1l6pir,1/30/2010,2.01E+13,,FEMALE,40,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
lfwwfmbi0g,1/31/2010,2.01E+13,,-unknown-,,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,NDF
mz47bohqc8,2/1/2010,2.01E+13,2/2/2010,-unknown-,,basic,0,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,US
nvti2htxna,2/1/2010,2.01E+13,,-unknown-,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF
o47imoy58k,2/1/2010,2.01E+13,,-unknown-,,basic,0,en,seo,google,omg,Web,Mac Desktop,Safari,NDF
b9gu8uoxxw,2/2/2010,2.01E+13,2/2/2010,-unknown-,,basic,0,en,other,other,,Web,Other/Unknown,-unknown-,US
svhon5c3wz,2/2/2010,2.01E+13,,FEMALE,31,basic,0,en,seo,google,linked,Web,Mac Desktop,Safari,NDF
6yjtxd174z,2/2/2010,2.01E+13,,-unknown-,29,basic,0,en,other,craigslist,omg,Web,Mac Desktop,Safari,NDF
61rgez44q4,2/2/2010,2.01E+13,,-unknown-,,basic,0,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
h53mz152m4,2/2/2010,2.01E+13,2/9/2010,FEMALE,57,basic,0,en,other,craigslist,omg,Web,Windows Desktop,Firefox,FR
b9pzliufcj,2/3/2010,2.01E+13,2/4/2010,FEMALE,30,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
h2gn4f9oqa,2/3/2010,2.01E+13,8/12/2010,-unknown-,49,basic,0,en,other,craigslist,untracked,Web,Mac Desktop,Chrome,US
mjkyx3a64l,2/4/2010,2.01E+13,,FEMALE,37,basic,0,en,other,craigslist,omg,Web,Mac Desktop,Safari,NDF
jf5oxeb233,2/4/2010,2.01E+13,3/20/2010,-unknown-,,basic,0,en,direct,direct,untracked,Web,iPhone,-unknown-,GB
3bm7fn465l,2/6/2010,2.01E+13,,-unknown-,26,basic,0,en,other,craigslist,tracked-other,Web,iPhone,Mobile Safari,NDF
jzw5p68a5u,2/6/2010,2.01E+13,2/6/2010,-unknown-,,basic,3,en,other,other,,Web,Other/Unknown,-unknown-,other
rxdkzkowt2,2/6/2010,2.01E+13,2/10/2010,FEMALE,36,basic,2,en,other,craigslist,untracked,Web,iPhone,-unknown-,US
odtqrxp6d1,2/6/2010,2.01E+13,,-unknown-,,basic,3,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF
yzjoqp3401,2/6/2010,2.01E+13,,-unknown-,,basic,2,en,other,craigslist,linked,Web,Mac Desktop,Chrome,NDF
prqnudhgdx,2/7/2010,2.01E+13,2/7/2010,FEMALE,32,basic,0,en,other,craigslist,linked,Web,Windows Desktop,Chrome,US
6qx6xl5eho,2/7/2010,2.01E+13,6/1/2010,MALE,33,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US
563m2oiat7,2/8/2010,2.01E+13,2/11/2010,FEMALE,46,facebook,2,en,other,craigslist,untracked,Web,Windows Desktop,IE,US
wqj8o7gv3y,2/8/2010,2.01E+13,2/26/2010,FEMALE,40,basic,2,en,direct,direct,linked,Web,Mac Desktop,Firefox,IT
57569t1rgg,2/9/2010,2.01E+13,,MALE,25,facebook,2,en,other,craigslist,linked,Web,Mac Desktop,Chrome,NDF
a6aoihcf3r,2/9/2010,2.01E+13,,MALE,25,facebook,2,en,other,other,omg,Web,Mac Desktop,Chrome,NDF
1o91tbwhmt,2/9/2010,2.01E+13,2/20/2010,-unknown-,54,basic,2,en,other,craigslist,untracked,Web,Mac Desktop,Safari,FR
oc138x4t2c,2/9/2010,2.01E+13,2/10/2010,-unknown-,32,facebook,2,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
u5otukcj1c,2/10/2010,2.01E+13,3/19/2010,-unknown-,,basic,3,en,other,craigslist,untracked,Web,Mac Desktop,Safari,FR
1qglty8tmd,2/10/2010,2.01E+13,8/25/2010,-unknown-,28,basic,2,en,seo,google,linked,Web,Windows Desktop,Chrome,US
so9lxma3fv,2/10/2010,2.01E+13,2/12/2010,FEMALE,57,basic,2,en,other,craigslist,tracked-other,Web,Mac Desktop,Firefox,US
6u9s9pbr5r,2/10/2010,2.01E+13,2/13/2010,FEMALE,47,basic,3,en,other,craigslist,linked,Web,Windows Desktop,IE,US
4ktx9s53w5,2/10/2010,2.01E+13,7/16/2010,MALE,34,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
ieu21joskb,2/11/2010,2.01E+13,2/13/2010,-unknown-,,basic,3,en,other,craigslist,,Web,Other/Unknown,-unknown-,US
82y7pq62oj,2/11/2010,2.01E+13,,-unknown-,35,basic,2,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
25pgufjup8,2/11/2010,2.01E+13,,-unknown-,32,basic,2,en,sem-non-brand,other,untracked,Web,Windows Desktop,Chrome,NDF
oqnzmpmt60,2/12/2010,2.01E+13,,-unknown-,,basic,3,en,direct,direct,,Web,Other/Unknown,-unknown-,NDF
vk9oo8i6ik,2/12/2010,2.01E+13,,-unknown-,34,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
qj9ttjt9ch,2/12/2010,2.01E+13,2/21/2010,OTHER,40,basic,3,en,direct,direct,untracked,Web,Mac Desktop,Chrome,ES
hjzm74mnt6,2/13/2010,2.01E+13,,-unknown-,,basic,3,en,other,craigslist,untracked,Web,Mac Desktop,Firefox,NDF
uzlk5vzgh4,2/13/2010,2.01E+13,2/13/2010,-unknown-,,basic,2,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
dgatsm5ocq,2/13/2010,2.01E+13,3/22/2010,FEMALE,69,basic,2,en,direct,direct,linked,Web,Mac Desktop,Firefox,US
nvsx44fs1w,2/14/2010,2.01E+13,,-unknown-,,basic,3,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
2c543qkuic,2/15/2010,2.01E+13,2/15/2010,FEMALE,30,basic,3,en,direct,direct,untracked,Web,Windows Desktop,Chrome,FR
y8r36zf535,2/15/2010,2.01E+13,,FEMALE,42,facebook,2,en,direct,direct,linked,Web,Windows Desktop,IE,NDF
9pdsmrcz7g,2/15/2010,2.01E+13,,FEMALE,63,basic,2,en,other,craigslist,untracked,Web,iPad,-unknown-,NDF
sdzl0mr9us,2/15/2010,2.01E+13,2/16/2010,-unknown-,,facebook,2,en,sem-non-brand,other,untracked,Web,Windows Desktop,Chrome,CA
m1p6kkn8l1,2/15/2010,2.01E+13,12/12/2010,-unknown-,33,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,US
z1smu76iek,2/16/2010,2.01E+13,2/16/2010,-unknown-,,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,US
mdhde4y8ak,2/16/2010,2.01E+13,2/16/2010,-unknown-,,basic,3,en,direct,direct,tracked-other,Web,iPad,Mobile Safari,US
umemmlvxmg,2/16/2010,2.01E+13,,MALE,44,basic,3,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
d2t14mx6bc,2/16/2010,2.01E+13,,-unknown-,,basic,0,en,sem-non-brand,other,,Web,Other/Unknown,-unknown-,NDF
xhnjctsnee,2/16/2010,2.01E+13,,FEMALE,26,basic,2,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
vlmrt8nr8q,2/16/2010,2.01E+13,2/21/2010,FEMALE,29,basic,2,en,other,craigslist,untracked,Web,Mac Desktop,Chrome,FR
0sjhzy6z9q,2/17/2010,2.01E+13,2/17/2010,FEMALE,43,basic,2,en,other,craigslist,linked,Web,Windows Desktop,Chrome,US
yvgxw5nrpd,2/17/2010,2.01E+13,,-unknown-,30,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,NDF
swrvyedlsp,5/30/2010,2.01E+13,3/17/2010,FEMALE,,facebook,0,en,direct,direct,omg,Web,Mac Desktop,Safari,US
tt4tf7arx9,2/18/2010,2.01E+13,2/18/2010,-unknown-,36,basic,3,en,direct,direct,linked,Web,Mac Desktop,Safari,US
w1e4j1wnvt,2/18/2010,2.01E+13,,-unknown-,26,basic,2,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
w4hggrfyox,2/19/2010,2.01E+13,,-unknown-,,basic,3,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
kbix4dw5bg,2/19/2010,2.01E+13,2/21/2010,FEMALE,33,facebook,0,en,other,craigslist,untracked,Web,Windows Desktop,Firefox,US
l7p5m5g8oo,2/19/2010,2.01E+13,,FEMALE,42,facebook,2,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF
hsa9brefci,2/19/2010,2.01E+13,,-unknown-,,basic,2,en,other,craigslist,untracked,Web,Windows Desktop,Firefox,NDF
apdl57gb6g,2/20/2010,2.01E+13,,FEMALE,36,facebook,2,en,other,craigslist,omg,Web,iPad,Mobile Safari,NDF
y7yglrqj4g,2/20/2010,2.01E+13,2/28/2010,MALE,39,basic,2,en,seo,google,omg,Web,Mac Desktop,Chrome,US
ofwq9iunbv,2/20/2010,2.01E+13,2/11/2011,-unknown-,,basic,2,en,direct,direct,linked,Web,Windows Desktop,Chrome,other
kzbgs46ka1,2/21/2010,2.01E+13,6/28/2010,-unknown-,47,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,US
jqyog5updf,2/21/2010,2.01E+13,2/22/2010,FEMALE,52,basic,3,en,direct,direct,untracked,Web,Mac Desktop,Firefox,IT
fxtlskaz1n,2/21/2010,2.01E+13,,-unknown-,59,basic,2,en,sem-non-brand,other,,Web,Other/Unknown,-unknown-,NDF
f1q44ej2ve,2/22/2010,2.01E+13,,-unknown-,53,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,NDF
woz3bp8egc,2/22/2010,2.01E+13,2/22/2010,-unknown-,,basic,0,en,seo,google,omg,Web,Mac Desktop,Firefox,US
2bvnlou71p,2/22/2010,2.01E+13,3/4/2010,-unknown-,25,basic,0,en,other,craigslist,,Web,Other/Unknown,-unknown-,US
ekjvs6zgq2,2/22/2010,2.01E+13,,-unknown-,,basic,2,en,other,craigslist,omg,Web,Windows Desktop,Chrome,NDF
p2j15lz8ge,2/22/2010,2.01E+13,2/23/2010,-unknown-,,basic,3,en,direct,direct,,Web,Other/Unknown,-unknown-,US
lz2dlc2ap4,2/23/2010,2.01E+13,,MALE,55,basic,2,en,direct,direct,untracked,Web,Android Phone,Chrome Mobile,NDF
lts9qawqo2,2/23/2010,2.01E+13,,-unknown-,,basic,2,en,direct,direct,omg,Web,Windows Desktop,IE,NDF
e5ox4vixyl,2/23/2010,2.01E+13,,-unknown-,,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
vol34s7upr,2/23/2010,2.01E+13,2/25/2010,MALE,36,facebook,3,en,sem-non-brand,other,untracked,Web,Windows Desktop,Chrome,CA
xx5xwvpmyj,2/24/2010,2.01E+13,2/24/2010,-unknown-,,basic,3,en,direct,direct,linked,Web,Mac Desktop,Firefox,GB
xsdy92xq16,2/24/2010,2.01E+13,,-unknown-,35,basic,2,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
mc6ihnidpc,2/24/2010,2.01E+13,2/25/2010,-unknown-,,basic,2,en,other,craigslist,,Web,Other/Unknown,-unknown-,US
qmg77g7lge,2/24/2010,2.01E+13,3/8/2010,-unknown-,65,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,US
y2wks1ljcu,2/24/2010,2.01E+13,2/24/2010,FEMALE,33,basic,3,en,seo,google,linked,Web,Mac Desktop,Safari,GB
mcdh2s9owp,2/24/2010,2.01E+13,2/24/2010,MALE,38,facebook,3,en,sem-non-brand,other,untracked,Web,Mac Desktop,Safari,US
ese54wmkcb,2/24/2010,2.01E+13,3/27/2010,-unknown-,,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,US
nf307k7ewi,2/24/2010,2.01E+13,2/28/2010,-unknown-,41,basic,2,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,FR
29ijaxrl2y,2/25/2010,2.01E+13,,FEMALE,29,basic,2,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF
jad3mbqepi,2/25/2010,2.01E+13,2/26/2010,-unknown-,,basic,3,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,US
hl3t7qzrdu,2/25/2010,2.01E+13,2/26/2010,-unknown-,32,basic,3,en,direct,direct,untracked,Web,iPhone,Mobile Safari,US
4lb9khiwg2,2/25/2010,2.01E+13,,-unknown-,,basic,3,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF
fyh4atoj1y,2/26/2010,2.01E+13,2/27/2010,-unknown-,28,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
o9sog26g9x,2/26/2010,2.01E+13,3/12/2010,FEMALE,46,basic,0,en,content,google,linked,Web,Mac Desktop,Firefox,US
lzjp8xkt44,2/26/2010,2.01E+13,,-unknown-,35,basic,2,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,NDF
ask4eceyyh,2/27/2010,2.01E+13,,FEMALE,35,facebook,2,en,other,craigslist,linked,Web,Mac Desktop,Firefox,NDF
md46o2l0pe,2/27/2010,2.01E+13,,-unknown-,34,basic,3,en,direct,direct,linked,Web,Mac Desktop,Safari,NDF
dstzfld8qk,2/27/2010,2.01E+13,2/28/2010,FEMALE,63,facebook,2,en,sem-non-brand,other,linked,Web,Windows Desktop,Firefox,US
2opewo93m2,2/27/2010,2.01E+13,,-unknown-,,basic,2,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
jcnhbybq4h,2/27/2010,2.01E+13,3/1/2010,-unknown-,,basic,3,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,FR
c0unmqaa5y,2/27/2010,2.01E+13,3/1/2010,-unknown-,,basic,3,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
1k5xq0yn5k,2/28/2010,2.01E+13,,-unknown-,,basic,3,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
027hmmfefk,2/28/2010,2.01E+13,,MALE,58,facebook,2,en,direct,direct,linked,Web,Windows Desktop,Firefox,NDF
7a8k3t3zd7,2/28/2010,2.01E+13,3/2/2010,-unknown-,57,basic,2,en,direct,direct,linked,Web,Mac Desktop,Safari,US
3hvsja1oo5,2/28/2010,2.01E+13,,-unknown-,61,facebook,2,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,NDF
6avz9lrvzq,2/28/2010,2.01E+13,,-unknown-,,basic,2,en,other,craigslist,untracked,Web,iPhone,-unknown-,NDF
sgcfiqz6o8,2/28/2010,2.01E+13,,FEMALE,,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF
tlvnjwjdam,2/28/2010,2.01E+13,,-unknown-,,facebook,3,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,NDF
mkzfek178i,3/1/2010,2.01E+13,,-unknown-,,basic,3,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
5ml3i1o90h,3/1/2010,2.01E+13,3/3/2010,FEMALE,35,basic,2,en,other,craigslist,omg,Web,Mac Desktop,Chrome,US
1a9khjwzuh,3/1/2010,2.01E+13,3/2/2010,-unknown-,,basic,2,en,other,craigslist,untracked,Web,Mac Desktop,Safari,US
f5accvka0y,3/1/2010,2.01E+13,3/3/2010,MALE,31,facebook,0,en,direct,direct,,Web,Other/Unknown,-unknown-,IT
mswwy65q4o,3/1/2010,2.01E+13,,-unknown-,36,basic,2,en,other,craigslist,omg,Web,Windows Desktop,Firefox,NDF
yyikx9ztzu,3/2/2010,2.01E+13,3/2/2010,-unknown-,,basic,3,en,sem-non-brand,other,untracked,Web,Mac Desktop,Safari,US
rzh9fet0aj,3/2/2010,2.01E+13,,-unknown-,,basic,2,en,other,craigslist,untracked,Web,iPad,Mobile Safari,NDF
wgyw2nwafd,3/2/2010,2.01E+13,,-unknown-,,basic,3,en,content,google,,Web,Other/Unknown,-unknown-,NDF
to2hnhh1bc,3/2/2010,2.01E+13,3/5/2010,-unknown-,18,basic,2,en,direct,direct,untracked,Web,iPad,Mobile Safari,US
k9zs5iak6w,3/3/2010,2.01E+13,3/3/2010,-unknown-,,basic,3,en,direct,direct,,Web,Other/Unknown,-unknown-,US
fdznpbty8y,3/3/2010,2.01E+13,,-unknown-,,basic,2,en,other,craigslist,untracked,Web,iPad,Mobile Safari,NDF
ju7u7y9bo1,3/3/2010,2.01E+13,3/3/2010,MALE,35,basic,2,en,other,craigslist,untracked,Web,Mac Desktop,Chrome,US
zpfucx0ipa,3/3/2010,2.01E+13,3/6/2010,MALE,36,basic,3,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
skrth14l98,3/4/2010,2.01E+13,,-unknown-,,basic,2,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
23czs745fi,3/4/2010,2.01E+13,3/5/2010,FEMALE,37,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
ylb45ot5by,3/5/2010,2.01E+13,,MALE,35,basic,3,en,sem-non-brand,other,omg,Web,Mac Desktop,Safari,NDF
r0kg0xtwpf,3/5/2010,2.01E+13,,-unknown-,,basic,0,en,sem-non-brand,google,linked,Web,iPad,Mobile Safari,NDF
3rcltoc165,3/5/2010,2.01E+13,3/8/2010,-unknown-,42,basic,2,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
3tyrowqzr9,3/5/2010,2.01E+13,4/18/2010,-unknown-,,basic,2,en,seo,google,linked,Web,Mac Desktop,Firefox,ES
1plg7bk21b,3/6/2010,2.01E+13,3/15/2010,-unknown-,,basic,2,en,other,craigslist,,Web,Other/Unknown,-unknown-,US
z2m5ub0h0h,3/6/2010,2.01E+13,,FEMALE,33,basic,2,en,other,craigslist,untracked,Web,Mac Desktop,Chrome,NDF
b9gk1av7rt,3/6/2010,2.01E+13,3/7/2010,-unknown-,,basic,0,en,content,google,,Web,Other/Unknown,-unknown-,US
1r5wy9nxcs,3/6/2010,2.01E+13,3/10/2010,-unknown-,,basic,0,fr,other,craigslist,untracked,Web,Mac Desktop,Safari,US
3qsa4lo7eg,3/6/2010,2.01E+13,3/8/2010,FEMALE,5,basic,3,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,FR
tpu2qt3yzw,3/7/2010,2.01E+13,3/8/2010,-unknown-,,basic,3,en,direct,direct,untracked,Web,iPad,Mobile Safari,other
fjs54jvq2s,3/7/2010,2.01E+13,3/12/2010,-unknown-,18,basic,2,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US
v31grxlt55,3/7/2010,2.01E+13,3/7/2010,-unknown-,,basic,3,en,other,craigslist,,Web,Other/Unknown,-unknown-,US
jtmmh6dtq9,3/8/2010,2.01E+13,3/22/2010,-unknown-,33,basic,2,en,other,craigslist,linked,Web,Mac Desktop,Safari,FR
164t1ruisy,3/8/2010,2.01E+13,,FEMALE,,basic,0,en,other,craigslist,untracked,Web,iPad,Mobile Safari,NDF
nhusfpisf6,3/8/2010,2.01E+13,4/15/2010,-unknown-,,basic,3,en,content,google,,Web,Other/Unknown,-unknown-,US
619ffwnpjz,3/8/2010,2.01E+13,,-unknown-,,basic,3,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
gwtsd4te19,3/8/2010,2.01E+13,3/8/2010,MALE,33,basic,0,en,other,craigslist,untracked,Web,Mac Desktop,Safari,US
jju39diyiu,3/8/2010,2.01E+13,,-unknown-,27,basic,0,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,NDF
i4edhlimed,3/16/2010,2.01E+13,4/6/2010,FEMALE,44,basic,0,en,seo,google,untracked,Web,Mac Desktop,Safari,US
efo7y4w42u,3/9/2010,2.01E+13,,FEMALE,44,facebook,2,en,other,craigslist,omg,Web,Desktop (Other),Firefox,NDF
lt2lcjrbbt,3/10/2010,2.01E+13,,-unknown-,53,basic,2,en,direct,direct,untracked,Web,Windows Desktop,Firefox,NDF
z4gv6bmyy7,3/10/2010,2.01E+13,3/10/2010,FEMALE,35,basic,3,en,seo,google,untracked,Web,Mac Desktop,Chrome,US
qvfgjugm8a,3/10/2010,2.01E+13,,-unknown-,,basic,0,en,direct,direct,,Web,Other/Unknown,-unknown-,NDF
vnlfsfrxzy,3/10/2010,2.01E+13,3/22/2010,-unknown-,47,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,US
jdy1ic9k4m,3/10/2010,2.01E+13,3/10/2010,-unknown-,40,basic,2,en,direct,direct,linked,Web,Mac Desktop,Safari,US
mkcaeq27iw,3/10/2010,2.01E+13,3/12/2010,-unknown-,,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,other
8c58dglkjc,3/10/2010,2.01E+13,,FEMALE,30,basic,0,en,seo,google,untracked,Web,Mac Desktop,Firefox,NDF
fmss7nq5uh,3/11/2010,2.01E+13,3/14/2010,FEMALE,39,basic,2,en,other,craigslist,linked,Web,Mac Desktop,Firefox,US
l6b51zsk0b,3/11/2010,2.01E+13,3/11/2010,FEMALE,45,basic,3,en,seo,facebook,omg,Web,Mac Desktop,Safari,US
